instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
8043,TP,True,487279.9340499914,0.09259259259259259,0.9335216802916947,0.7613900947189576,0.9741112611588925,,
8076,TP,True,429048.54700600845,0.09259259259259259,0.9019390597738282,0.5025303724558359,0.939994459432785,,
8088,TN,True,439137.73420406505,0.09259259259259259,0.8997066949428496,0.14337480616160572,0.9065032271646573,,
8105,TP,True,436388.51044600597,0.09259259259259259,0.9444333619577168,0.7548369625575665,0.9581882099661422,,
8119,TP,True,573538.8398020295,0.09259259259259259,0.9457232747924316,0.6781262081208898,0.971655981279166,,
8141,TP,True,255895.37722599925,0.09259259259259259,0.9981631628672205,0.8354155884718519,0.9996175412640346,,
8159,,,,,,,,-1,1
8190,TP,True,440806.2195930397,0.09259259259259259,0.9879448220114423,0.6006337488022112,0.9682242033817406,,
8232,TN,True,373582.4272929458,0.09259259259259259,0.4850576840411576,0.054472374275087415,0.925010320603566,,
8248,TN,True,313451.85695705004,0.09259259259259259,0.5776266290510517,0.0443990389279239,0.9547203950328412,,
8268,,,,,,,,-1,1
8274,TP,True,376058.594171016,0.09259259259259259,0.9685052747483662,0.6072261261816315,0.9502546438121249,,
8276,TN,True,279236.4925791044,0.09259259259259259,0.8944040679383982,0.0398199392984596,0.9341328029394965,,
8324,,,,,,,,-1,1
8327,TP,True,358164.7344120138,0.09259259259259259,0.9910823225982188,0.7816170728341538,0.9889064415330219,,
8330,,,,,,,,-1,1
8335,,,,,,,,-1,1
8372,TP,True,425021.56847401056,0.09259259259259259,0.9669704253410688,0.7845844922499039,0.997920334908469,,
8392,TP,True,445714.7702280199,0.09259259259259259,0.9749200470103909,0.7198315086549464,0.9734885219717548,,
8416,TN,True,460910.5414240621,0.09259259259259259,0.8141876601764464,0.020147245559241786,0.8581398224291239,,
8436,TN,True,271708.5461469833,0.09259259259259259,0.9462417725029723,0.061144614821099924,0.9397941185299161,,
8442,TN,True,243913.01029501483,0.09259259259259259,0.9290186153159933,0.1988521942293996,0.8498542528519297,,
8487,,,,,,,,-1,1
8489,,,,,,,,-1,1
8501,,,,,,,,-1,1
8507,TP,True,364858.42466098256,0.09259259259259259,0.9742831803706334,0.8219225455411032,0.9813351764509876,,
8516,TP,True,375240.73058500653,0.09259259259259259,0.9832219494545622,0.7157134967111896,0.9766593923583897,,
8540,,,,,,,,-1,1
8575,TN,True,378243.1922830874,0.09259259259259259,0.6634130350654961,0.1341999614887118,0.940514201152881,,
8593,,,,,,,,-1,1
8598,,,,,,,,-1,1
8619,,,,,,,,-1,1
8638,TP,True,483941.15061103366,0.09259259259259259,0.9135539797336962,0.5995448490585134,0.9032971643583094,,
8658,TN,True,386308.5055160336,0.09259259259259259,0.7465353594059304,0.12365631888083656,0.957210119160802,,
8695,TP,True,470697.30069400975,0.09259259259259259,0.9621399315237754,0.49071757749799716,0.9391229793411928,,
8704,TP,True,530597.2480560886,0.09259259259259259,0.993186794447589,0.8316700426668757,0.9989502743676791,,
8715,,,,,,,,-1,1
8731,TP,True,333534.7582430113,0.09259259259259259,0.9765109486916517,0.4260900273123487,0.9171295067524836,,
8763,TP,True,568900.0333930599,0.09259259259259259,0.9781553046557765,0.43078792315086273,0.9469875871229679,,
8789,TN,True,364898.1410639826,0.09259259259259259,0.6069569378927416,0.08510988369376175,0.9344918926883752,,
8807,,,,,,,,-1,1
8814,,,,,,,,-1,1
8838,,,,,,,,-1,1
8845,,,,,,,,-1,1
8868,,,,,,,,-1,1
8880,,,,,,,,-1,1
8902,TP,True,521444.09177894704,0.09259259259259259,0.9779559320992761,0.3952684532849129,0.9087876108117201,,
8950,,,,,,,,-1,1
8972,,,,,,,,-1,1
8976,TP,True,434596.5860330034,0.09259259259259259,0.9460333641254393,0.6524755684148112,0.9505728277581049,,
