experiment,dataset,model,explainer,seed,n,source,path,fidelity,stability,sparsity,faithfulness_gap,cost,duration_s
exp2,adult,rf,anchors,999,100,raw,experiments/exp2_scaled/results/rf_anchors/seed_999/n_100/results.json,0.29593003413264546,0.00016720375410763624,0.19925925925925927,0.20654500000000003,53732.561442503276,23282.017019
exp2,adult,rf,anchors,999,200,raw,experiments/exp2_scaled/results/rf_anchors/seed_999/n_200/results.json,0.3458596865377994,0.004332572892231395,0.033368055555555554,0.16026404249816764,13050.734835728565,15135.444602
exp2,adult,rf,dice,42,50,raw,experiments/exp2_scaled/results/rf_dice/seed_42/n_50/results.json,0.1499089976285846,0.4006724980704062,0.018518518518518517,0.11061666666666667,593.1991491945519,4193.653774
exp2,adult,rf,dice,42,100,raw,experiments/exp2_scaled/results/rf_dice/seed_42/n_100/results.json,0.14501397828751336,0.4139915988199151,0.01833333333333333,0.10548083333333333,651.5149044775899,7993.921682
exp2,adult,rf,dice,42,200,raw,experiments/exp2_scaled/results/rf_dice/seed_42/n_200/results.json,0.13802299080812905,0.40286744436278454,0.01881944444444444,0.10124166666666667,640.1101695239777,18262.770868
exp2,adult,rf,dice,123,50,raw,experiments/exp2_scaled/results/rf_dice/seed_123/n_50/results.json,0.12103780426877474,0.37982139535277964,0.01685185185185185,0.11109999999999999,580.7446902280208,4652.87178
exp2,adult,rf,dice,123,100,raw,experiments/exp2_scaled/results/rf_dice/seed_123/n_100/results.json,0.1188947726296226,0.3617061965394149,0.016828703703703703,0.10631249999999999,1799.8124614650533,10238.955509
exp2,adult,rf,dice,123,200,raw,experiments/exp2_scaled/results/rf_dice/seed_123/n_200/results.json,0.1356950445765254,0.4178042264381556,0.020720344875538865,0.0655017234913786,1931.0183319149985,29218.830426
exp2,adult,rf,dice,456,50,raw,experiments/exp2_scaled/results/rf_dice/seed_456/n_50/results.json,0.11721309314200137,0.41469282925806605,0.020555555555555553,0.053913109112955035,6929.119944499653,12150.803125
exp2,adult,rf,dice,456,100,raw,experiments/exp2_scaled/results/rf_dice/seed_456/n_100/results.json,0.1273885091947803,0.37388224381635454,0.018009259259259256,0.10872499999999999,1617.000169019011,13400.321499
exp2,adult,rf,dice,456,200,raw,experiments/exp2_scaled/results/rf_dice/seed_456/n_200/results.json,0.1325137483520518,0.39763154381368077,0.018464763747782616,0.11865239477503628,1547.3923074585766,22912.304205
exp2,adult,rf,dice,789,50,raw,experiments/exp2_scaled/results/rf_dice/seed_789/n_50/results.json,0.1088415117487132,0.4345251374107379,0.020277777777777777,0.06035186415594103,4017.53329999985,10219.540312
exp2,adult,rf,dice,789,100,raw,experiments/exp2_scaled/results/rf_dice/seed_789/n_100/results.json,0.11455731407806344,0.3783069861662463,0.017916666666666664,0.1053075,1299.7781180019956,7163.778349
